"numero","id_bling","dataVenda","dataPedido","qtde_itens","custo","totalVenda","taxaLoja","CMV"
"44043","21593733163","2024-11-18","2024-11-18","1","5.60","21.11","38.93","26.52"
"43490","21485353062","2024-11-05","2024-11-05","0","10.31","21.86","38.28","47.16"
"43681","21521435624","2024-11-09","2024-11-09","0","8.94","21.98","38.19","40.65"
"43849","21553905484","2024-11-12","2024-11-12","1","6.95","21.98","38.79","31.6"
"44037","21592814896","2024-11-18","2024-11-18","1","6.95","21.98","38.79","31.6"
"44082","21601659704","2024-11-19","2024-11-19","2","10.23","22","0","23.25"
"43536","21494043288","2024-11-06","2024-11-06","0","10.49","22.5","37.82","46.62"
"43540","21496208506","2024-11-06","2024-11-06","0","10.49","22.5","37.82","46.62"
"43883","21561563484","2024-11-13","2024-11-13","1","10.49","22.5","37.82","46.62"
"43937","21572953310","2024-11-15","2024-11-15","1","10.49","22.5","37.82","46.62"
"44033","21591995922","2024-11-18","2024-11-18","1","10.49","22.5","37.82","46.62"
"44081","21601599444","2024-11-19","2024-11-19","1","10.49","22.5","37.82","46.62"
"44262","21630863628","2024-11-23","2024-11-23","1","10.49","22.5","37.82","46.62"
"43749","21533050936","2024-11-11","2024-11-11","1","10.67","22.98","37.4","46.41"
"44053","21594804579","2024-11-19","2024-11-19","1","10.67","22.98","37.4","46.41"
"43564","21500319550","2024-11-06","2024-11-06","0","11.70","24","0","48.74"
"43717","21526571376","2024-11-10","2024-11-10","1","10.91","24","36.66","45.45"
"43676","21520328277","2024-11-08","2024-11-08","0","6.95","24.04","36.63","28.89"
"43728","21528149860","2024-11-10","2024-11-10","1","6.95","24.04","36.63","28.89"
"43795","21541606394","2024-11-11","2024-11-11","1","6.95","24.04","36.63","28.89"
"43826","21549013465","2024-11-12","2024-11-12","1","6.95","24.04","36.63","28.89"
"43882","21561364753","2024-11-13","2024-11-13","1","6.95","24.04","36.63","28.89"
"43897","21563261530","2024-11-13","2024-11-13","1","6.95","24.04","36.63","28.89"
"44004","21582029293","2024-11-17","2024-11-17","1","6.95","24.04","36.63","28.89"
"43379","21469104763","2024-11-02","2024-11-02","0","12.19","24.69","36.01","49.37"
"43515","21490921351","2024-11-05","2024-11-05","0","12.19","24.98","36.01","48.77"
"43940","21573606711","2024-11-15","2024-11-15","1","12.19","24.98","36.01","48.77"
"44133","21607596803","2024-11-20","2024-11-20","1","11.21","24.98","36.01","44.85"
"44244","21628753329","2024-11-23","2024-11-23","2","12.05","25","0","24.09"
"43971","21577737729","2024-11-16","2024-11-16","3","10.19","26","0","13.82"
"44161","21613839354","2024-11-21","2024-11-21","1","17.75","26.1","31.5","68"
"43567","21500955811","2024-11-06","2024-11-06","0","14.23","26.81","34.33","53.05"
"43360","21467367791","2024-11-02","2024-11-02","0","17.83","27.22","32.3","65.47"
"44022","21590171214","2024-11-18","2024-11-18","1","14.23","27.75","34.33","51.27"
"43694","21523155593","2024-11-09","2024-11-09","0","14.23","27.85","34.33","51.09"
"44116","21605933804","2024-11-20","2024-11-20","1","14.23","27.87","34.33","51.05"
"43523","21492012801","2024-11-05","2024-11-05","0","14.23","27.88","34.33","51.02"
